CATEG	MODEL	B0	B1	MALE	AGE
BCL2_MYC	prox	5.63318281708082	-3.74670242399957	0.304245798773748	-0.0167165812397535
CDX2.high	prox	4.07405117310662	-2.85199469391044	-0.182066788350158	-0.00360329159645586
CRLF2	prox	7.21240630005371	-5.4392508573351	0.0606214568218928	-0.0132862508194253
DUX4	prox	10.9330849982761	-8.32377325697833	0.0632895573343593	-0.0185328296090198
ETP.ALL	prox	5.41032579635721	-3.40783408494501	-0.269818956216596	-0.00409533006909533
ETV6.RUNX1	prox	7.53990348844072	-6.50697892320029	-0.109912855217299	-0.0080447052780569
GTEx.Adipose	prox	6.01667735374664	-10.4288872907668	0.000315731579253779	0.00158474368770573
GTEx.Adrenal	prox	7.46211630342118	-10.0398768701132	-0.127376240799372	0.00209913269281656
GTEx.Artery	prox	9.02021182548461	-9.27891543745527	-0.282183169151667	-0.0596218801874219
GTEx.Bladder	prox	4.30171117769118	-5.1362256591844	0.0462598932949658	-0.0234355579683057
GTEx.Blood	prox	13.5687570984299	-13.0624329087215	0.0628165864496234	0.0269561502447458
GTEx.Brain	prox	7.44099423144412	-9.34593018517886	0.153350453730969	0.00769095568257504
GTEx.Breast	prox	5.89721425254828	-9.24435912319884	0.185353045747472	-0.00922076477643177
GTEx.Cervix	prox	4.05140895626418	-3.39468970109478	-1.50359586581998	-0.0241567139832432
GTEx.Colon	prox	5.12118900410587	-7.53082344385759	-0.0254857101414484	-0.0083747121150616
GTEx.Esophagus	prox	5.00369566952622	-7.73091727492803	0.0768986480072527	-0.00108115503302602
GTEx.Fallopian	prox	3.14096227209778	-2.645583970557	-1.47173293103631	-0.019380158526662
GTEx.Heart	prox	8.1849812093247	-12.2833502020215	0.161165525836693	0.00796900884900903
GTEx.Intestine	prox	5.47627782591185	-8.89343396424855	0.125370039225953	0.00331540949611121
GTEx.Kidney	prox	5.08718386835608	-8.56064735590906	0.256305909055864	-0.00621073853154636
GTEx.Liver	prox	7.18492574083316	-9.33735296527473	0.0638513655853625	-0.00605076539338195
